Reboot Period,normal reboot sched,secboot sched
0.0,0.4929907401487405,0.4929907401487405
0.01,0.4930942837162837,0.4920193790653791
0.02,0.4923533122433118,0.49030849106449137
0.03,0.49349896148296124,0.49031170873570856
0.04,0.4923117664557666,0.4880753866133868
0.05,0.4933888247308242,0.48801181440781427
0.06,0.4928642521922519,0.4867951068931066
0.07,0.49382656565656535,0.4865173828393828
0.08,0.4921184504384511,0.48364040337440395
0.09,0.49188778088578095,0.4821023372183371
0.1,0.49313462470862485,0.4825863121323119
0.11,0.49284994227994205,0.48103516039516014
0.12,0.4939832811632813,0.4809746826506832
0.13,0.49323690087690103,0.4783333395493392
0.14,0.4918403343323347,0.4762938823398818
0.15,0.4915970897990896,0.47481318592518607
0.16,0.49310127694527706,0.4748389570429573
0.17,0.4916247858807856,0.4718525163725165
0.18,0.4943070389610387,0.4731543116883113
0.19,0.491775653235653,0.468804981240981
0.2,0.492730804528804,0.4660452414252416
0.21,0.4936410571650572,0.4666370442890439
0.22,0.4920140941280939,0.46375767365967335
0.23,0.49236110578310616,0.46326061405261415
0.24,0.49311767587967614,0.4629835153735153
0.25,0.492736705960706,0.4612203103563102
0.26,0.49288056943056935,0.4600298377178376
0.27,0.4932849617049613,0.4603019009879009
0.28,0.49254215562215575,0.45830087579087525
0.29,0.4926372221112219,0.45747225019425025
0.3,0.4929861223221223,0.4564801016761017
0.31,0.492510979020979,0.45521233766233765
0.32,0.49174466022866065,0.452688181152181
0.33,0.49282731668331703,0.4531816499056501
0.34,0.492843357087357,0.4524672194472196
0.35,0.4932376463536462,0.4512000883560885
0.36,0.49245820224220194,0.44955632079032026
0.37,0.49301546164946175,0.44826122610722624
0.38,0.4928748800088801,0.44670248706848725
0.39,0.49370259518259507,0.44566290109890144
0.4,0.49239570784770814,0.44193870862470847
0.41,0.49296789699189725,0.44169382861582845
0.42,0.4926877398157395,0.4397177276057276
0.43,0.4931043927183929,0.4398321132201136
0.44,0.4930548815628811,0.43909833499833495
0.45,0.49173474902874925,0.4367832478632481
0.46,0.49321874991674935,0.43678078343878324
0.47,0.49290160039960074,0.4365337700077699
0.48,0.49249394960594955,0.43423026262626274
0.49,0.4918433808413806,0.43368995892995876
0.5,0.4898748848928852,0.4307078969918967
0.51,0.4939645265845263,0.4330267428127427
0.52,0.4921996110556113,0.4303489241869243
0.53,0.4931094407814406,0.43062857009656985
0.54,0.49249645288045285,0.42848215406815343
0.55,0.49316318303918294,0.428205619491619
0.56,0.49331020823620814,0.4274031148851151
0.57,0.4920134549894547,0.4247708629148632
0.58,0.49223533422133425,0.4231419953379952
0.59,0.4927428842268842,0.4221694767454769
0.6,0.49243891464091455,0.41915121900321844
0.61,0.4920964804084804,0.4176478914418917
0.62,0.49235950915750937,0.41732854967255006
0.63,0.49314485625485593,0.4173324755244752
0.64,0.4939173233433234,0.41693119458319483
0.65,0.49397633966033955,0.4167103711843717
0.66,0.4925649650349648,0.4139785920745924
0.67,0.49310948473748534,0.414379374403375
0.68,0.4926817795537793,0.4132294296814295
0.69,0.4917095526695528,0.41154128360528325
0.7,0.4930474618714619,0.4119233630813632
0.71,0.4929875890775887,0.41116236430236414
0.72,0.49256791586191573,0.41005021556221577
0.73,0.49216639671439644,0.40896487512487484
0.74,0.49340041847041827,0.40847725518925515
0.75,0.4918067590187587,0.4064929685869686
0.76,0.49177364346764374,0.4062501713841713
0.77,0.4919654221334227,0.4040431914751914
0.78,0.49193449506049464,0.4032878841158839
0.79,0.4928305081585082,0.4039297706737709
0.8,0.4928670915750913,0.4025243352203352
0.81,0.4930726622266623,0.4018710618270618
0.82,0.493698871350871,0.4024449570429568
0.83,0.4929093881673884,0.3999846755466756
0.84,0.4935667059607059,0.39998969319569355
0.85,0.49247873681873694,0.3978421254301253
0.86,0.4912020550560549,0.39636607104007116
0.87,0.49258905938505926,0.39725128382728364
0.88,0.4924755972915977,0.3963140270840272
0.89,0.4928989441669442,0.39533802220002234
0.9,0.4926348482628485,0.39507682584082593
0.91,0.4929229235209232,0.39460291952491955
0.92,0.4929628549228554,0.39320964613164605
0.93,0.4924303325563324,0.39204794893994954
0.94,0.49272406304806304,0.39226021645021675
0.95,0.49247023798423784,0.3909146524586525
0.96,0.4931651885891886,0.39066623110223103
0.97,0.4919739509379509,0.38865484604284584
0.98,0.4929237868797868,0.3891450451770455
0.99,0.49161762326562325,0.3867258743478744
1,0.4923360784,0.3868125869
